,title,address,website,phone_number
177,Bourbon Coffee,"103 Charing Cross Rd, London, WC2H 0DT",http://www.bourboncoffeeuk.com,020 7287 4849
178,Poetry Cafe,"22 Betterton St, London, WC2H 9BX",http://www.poetrysociety.org.uk,020 7420 9888
179,Caffe Nero,"83 84 Long Acre, London, WC2E 9NG",http://www.caffenero.com,020 7836 6874
180,Kahve Dunyasi,"Unit 3, 200 Piccadilly, London, W1J 9HU",http://www.kahvedunyasi.co.uk,020 7287 9063
181,Pret a Manger,"37 Shelton St, London, WC2H 9HN",https://locations.pret.co.uk/london/37-shelton-street,020 7932 5466
182,H2c Gelati Ltd,"41 Old Compton St, London, W1D 6HF",http://www.amorino.com,020 7494 3300
183,Amorino,"41 Old Compton St, London, W1D 6HF",http://www.amorino.com,020 7494 3300
184,Caffe Concerto Ltd,"29-31 Piccadilly, London, W1J 0LF",http://www.caffeconcerto.co.uk,020 7494 6844
185,Fornus,"55 Frith Street, London, W1D 4SJ",https://www.facebook.com/fornussoho,020 3648 5876
186,Kissaten,"30 Brewer Street, London, W1F 0SS",http://www.kissaten.co.uk,020 3976 2045
187,Pret A Manger,"65 Long Acre, London, WC2E 9JD",https://locations.pret.co.uk/london/65-long-acre,020 7932 5324
188,Starbucks Coffee Co (UK) Ltd,"60-66 Wardour St, London, W1F 0TA",http://www.starbucks.co.uk,020 7287 1956
189,Pistachios in the Park - Red Lion Cafe,"Red Lion Square Gardens, London, WC1R 4QH",,020 3116 0024
190,Caffe Nero,"43 Frith St, London, W1D 4SA",http://www.caffenero.com,020 7434 3887
191,Lundenwic,"47 Aldwych, Charing Cross, LONDON, WC2B 4DR",,
192,Wings,"39 Drury Lane, London, WC2B 5RR",,0207379 6090
193,Lundenwic,"45 Aldwych, Charing Cross, LONDON, WC2B 4DW",http://www.lundenwic.com,
194,Duke's Cafe,"7 Duke St, St. James's, London, SW1Y 6BN",http://www.dukescaffecatering.co.uk,020 7930 2884
195,Hideaway Coffee,"7 Smiths Court, Haymarket, LONDON, W1D 7DW",,
196,Vegan Hippo,"52 Rupert Street, Chinatown, LONDON, W1D 6DS",,020 7734 8574
197,Patisserie Valerie,"80 Long Acre, London, WC2E 9NG",http://www.patisserie-valerie.co.uk,020 7240 5592
198,Moosh Cafe,"Kingly Street, Soho, LONDON, W1B 5PW",,020 7386 8688
199,Saladpride,"2 Neal's Yard, London, WC2H 9DP",http://www.saladpride.com,020 7836 2779
200,Pret a Manger,"120-125 Strand, London, WC2R 0AP",https://locations.pret.co.uk/london/120-125-strand,020 7240 2689
201,Petit Coffeee Shop,"ground floor, 10 Lower John St, London, W1F 9EA",,020 7439 4499
202,Costa,"44144 Kingsway, London, WC2B 6AN",https://www.costa.co.uk,020 7379 5448
203,Starbucks Coffee Co (UK) Ltd,"76 Regent St, London, W1B 5RA",http://www.starbucks.co.uk,020 7287 9981
204,Syrup of Soot Ltd,"38 Museum St, London, WC1A 1LP",http://www.syrupofsoot.com,020 7242 1022
205,Franx Snack Bar,"192 Shaftesbury Avenue, London, WC2H 8JL",,020 7836 7989
206,The Manette,"16 Manette Street, London, W1D 4AR",http://www.manettecafe.co.uk,020 7287 0456
207,Pret a Manger,"95-95 Wardour St Soho, London, W1F 0UE",https://locations.pret.co.uk/london/93-95-wardour-st,020 7932 5261
208,Pret a Manger,"3 Duke of York, London, SW1Y 6JP",https://locations.pret.co.uk/london/3-duke-of-york,020 7839 6390
209,Higher Grounds Coffee Dealers,"113-119 Charing Cross Rd, London, WC2H 0EB",,020 7440 3207
210,Cafe de Providence,"14 Drury Lane, Holborn, LONDON, WC2B 5RB",,020 7497 2757
211,The Black Penny,"34 Great Queen St, London, WC2B 5AA",http://www.theblackpenny.co.uk,020 7242 2580
212,Cakes & Bubbles,"68A Regent Street, Soho, LONDON, W1B 5RJ",http://hotelcaferoyal.com,020 7406 3310
213,Costa Pronto,"Bridge Street, London, SW1A 2JR",https://www.costa.co.uk,020 7321 2315
214,Beany,"Belvedere Road, LONDON, SE1 8XX",http://www.daisygreenfood.com/,
